Case_ID,Jurisdiction,Case_Year,Case_Type,Outcome,Cross_Jurisdictional,Finance,Customer,Internal_Process,Learning_and_Growth,Industry_Scale_and_Influence,Local_Development_Foundation,Market_Potential,Team_Source_Contribution,Customer_Satisfaction,Customer_Complaint_Number,Team_Collaboration,Business_Performance_Assessment,Public_Culture_Activities,Training_Record,Papers_and_Publications,Globalized_Individuals,Institutional_Size,High_Quality_Law_Firms,Global_Legal_Connections,Local_Economic_Development,Population_Size,Talent_Reserve_Pool,Service_Sector_Level,Article_Prediction,Cause_Prediction,Penalty_Prediction,Case_Analysis,Financial_Calculation,Liability_Score,Cross_Border_Compliance
FLC-2024-0010,Region B,2020,Commercial,Win,False,281401.5,4.9,8.2,7.9,5.5,7.3,9.9,5.7,4.9,2,3.0,6.5,3.2,8,0,0,146.4,False,6,6.5,151262,7.1,6.3,Art. 25 CISG,Cross-Border Dispute,89456.95,Assess plaintiff claims -> Review evidence -> Determine outcome,134426.9,0.48,0.6
FLC-2025-0011,Region E,2016,Criminal,Loss,False,264880.66,5.2,4.6,7.9,5.2,6.3,7.3,6.4,5.2,1,4.0,9.3,2.5,6,2,3,78.8,True,7,8.8,4051,9.8,7.3,Art. 12 Penal Code,Fraud,119922.42,Check jurisdiction -> Assess contract clauses -> Compute liability,113025.87,0.43,0.62
FLC-2023-0012,Region D,2024,Criminal,Loss,True,299119.43,0.8,4.5,5.1,9.8,8.9,8.2,7.0,0.8,1,0.6,9.6,4.4,6,0,4,70.4,False,6,8.3,542252,8.1,7.1,Art. 12 Penal Code,Fraud,410232.19,Check applicable law -> Compute damages -> Advise resolution,252397.65,0.84,0.97
FLC-2024-0013,Region A,2019,International Treaty,Loss,True,272061.31,1.5,6.8,5.9,7.2,5.8,7.7,8.2,1.5,1,3.1,6.3,0.2,3,1,0,117.1,True,3,8.1,189751,8.2,5.1,Art. 97,Cross-Border Dispute,357117.03,Assess plaintiff claims -> Review evidence -> Determine outcome,224974.53,0.83,0.47
FLC-2025-0014,Region C,2019,Civil,Win,False,845059.82,9.2,7.8,9.1,8.3,4.4,5.6,6.1,9.2,1,6.7,5.2,6.2,7,0,1,77.4,True,9,8.4,208869,9.1,6.4,Art. 45 Civil Code,Breach of Contract,23730.41,Check applicable law -> Compute damages -> Advise resolution,179667.73,0.21,0.51
FLC-2023-0015,Region D,2019,International Treaty,Win,False,3653943.82,4.5,9.8,7.7,7.1,7.0,7.5,8.7,4.5,3,3.9,6.9,7.8,8,4,3,97.2,False,6,8.8,415568,6.9,7.7,Art. 97,Cross-Border Dispute,295491.88,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,2322817.74,0.64,0.33
FLC-2024-0016,Region B,2018,Administrative,Loss,True,37926.56,3.8,7.4,8.2,7.2,5.1,6.0,8.4,3.8,3,2.6,9.7,7.8,7,4,4,109.0,True,6,10.0,890465,7.2,9.4,Art. 5 Admin Law,Regulatory Violation,231955.9,Assess plaintiff claims -> Review evidence -> Determine outcome,22465.68,0.59,0.74
FLC-2025-0017,Region D,2020,International Treaty,Win,False,1183543.6,5.2,4.5,8.5,5.4,8.8,8.2,5.4,5.2,4,3.6,6.2,5.8,1,3,0,190.5,False,8,8.0,518923,6.9,5.4,Art. 97,Cross-Border Dispute,98724.34,Review charges -> Evaluate evidence -> Determine verdict,612424.97,0.52,0.37
FLC-2023-0018,Region D,2024,Criminal,Loss,True,603745.22,0.4,8.4,8.8,9.1,8.2,8.1,6.2,0.4,0,0.3,6.9,2.9,8,0,4,193.4,True,4,5.2,356540,10.0,5.4,Art. 12 Penal Code,Fraud,376405.68,Review charges -> Evaluate evidence -> Determine verdict,572070.1,0.95,0.89
FLC-2024-0019,Region B,2015,Civil,Win,True,162343.65,6.8,7.8,7.9,9.5,3.3,5.7,9.8,6.8,3,5.8,5.5,3.4,4,1,1,61.3,False,4,9.9,545447,7.3,5.2,Art. 45 Civil Code,Breach of Contract,171702.22,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,88860.86,0.55,0.91
FLC-2025-0020,Region E,2023,Civil,Win,False,232042.96,10.0,6.5,9.7,9.3,3.3,4.2,6.9,10.0,0,7.9,7.4,9.9,5,1,0,194.6,False,0,9.2,805449,5.2,5.7,Art. 45 Civil Code,Breach of Contract,11119.31,Check applicable law -> Compute damages -> Advise resolution,9267.54,0.04,0.55
FLC-2023-0021,Region E,2019,Commercial,Loss,True,846523.5,3.0,9.7,9.2,6.2,6.2,4.8,9.8,3.0,4,2.6,6.0,8.8,8,1,3,68.4,False,6,8.4,190089,7.4,9.2,Art. 25 CISG,Cross-Border Dispute,296611.03,Check jurisdiction -> Assess contract clauses -> Compute liability,621556.23,0.73,0.89
FLC-2024-0022,Region D,2016,Commercial,Loss,True,1129259.34,4.9,8.8,9.5,8.1,9.9,7.6,8.2,4.9,2,1.3,5.5,7.3,9,0,3,73.6,True,9,9.3,248940,9.0,7.3,Art. 25 CISG,Cross-Border Dispute,153616.58,Assess plaintiff claims -> Review evidence -> Determine outcome,726189.85,0.64,0.74
FLC-2025-0023,Region B,2017,Civil,Win,False,229788.53,6.0,7.2,7.3,7.9,5.8,8.2,5.9,6.0,3,6.0,6.7,9.0,3,2,4,195.2,True,9,6.1,58108,5.8,6.4,Art. 45 Civil Code,Breach of Contract,112554.61,Review charges -> Evaluate evidence -> Determine verdict,56544.92,0.25,0.76
FLC-2023-0024,Region C,2023,Commercial,Settlement,True,397507.72,2.8,6.9,8.4,7.6,4.1,6.3,5.0,2.8,3,4.2,9.0,7.5,4,1,3,86.4,True,7,8.6,368257,5.2,6.3,Art. 25 CISG,Cross-Border Dispute,169273.26,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,237103.72,0.6,0.64
FLC-2024-0025,Region C,2024,International Treaty,Loss,True,458292.8,3.5,6.1,7.0,5.5,8.2,5.1,7.8,3.5,0,3.9,6.1,3.3,9,0,4,126.8,False,3,6.8,607440,7.5,5.4,Art. 97,Cross-Border Dispute,10736.28,Review charges -> Evaluate evidence -> Determine verdict,438886.71,0.96,0.63
FLC-2025-0026,Region B,2024,Civil,Settlement,False,4753203.66,8.6,7.6,6.2,7.5,5.3,9.6,5.0,8.6,4,6.5,5.8,2.5,4,2,0,34.4,True,2,5.1,791756,9.9,5.6,Art. 45 Civil Code,Breach of Contract,38370.78,Assess plaintiff claims -> Review evidence -> Determine outcome,1432868.78,0.3,0.66
FLC-2023-0027,Region D,2022,International Treaty,Loss,True,226748.79,0.8,8.3,9.1,8.6,6.7,6.9,9.2,0.8,4,1.0,5.9,3.2,3,3,0,152.5,True,0,8.1,242983,5.4,7.5,Art. 97,Cross-Border Dispute,375397.91,Check jurisdiction -> Assess contract clauses -> Compute liability,212922.86,0.94,0.59
FLC-2024-0028,Region D,2016,International Treaty,Loss,True,362956.05,1.8,5.9,9.0,6.3,7.8,8.6,8.0,1.8,2,3.5,6.7,9.3,2,4,2,188.9,True,2,5.3,661775,8.6,5.2,Art. 97,Cross-Border Dispute,132643.37,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,343967.21,0.95,0.43
FLC-2025-0029,Region E,2019,International Treaty,Loss,False,63263.3,4.2,8.9,8.3,7.6,5.5,9.3,7.0,4.2,2,4.0,8.1,5.4,1,0,0,181.9,True,6,7.7,915228,9.5,8.1,Art. 97,Cross-Border Dispute,246585.71,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,41622.84,0.66,0.45
FLC-2023-0030,Region D,2018,Commercial,Loss,False,100852.44,4.4,10.0,8.8,8.5,8.5,4.9,6.0,4.4,1,4.2,8.8,8.8,1,4,3,102.3,False,3,7.0,757892,7.7,7.4,Art. 25 CISG,Cross-Border Dispute,33146.87,Assess plaintiff claims -> Review evidence -> Determine outcome,51876.01,0.51,0.53
FLC-2024-0031,Region C,2024,Criminal,Loss,True,4285264.6,0.6,5.5,6.7,5.9,9.4,7.5,7.0,0.6,1,0.4,9.7,1.5,8,1,0,66.1,True,7,9.4,696275,7.8,8.5,Art. 12 Penal Code,Fraud,291317.42,Check jurisdiction -> Assess contract clauses -> Compute liability,4034255.77,0.94,0.75
FLC-2025-0032,Region B,2022,International Treaty,Settlement,True,549553.3,0.0,9.0,9.6,5.6,4.7,5.0,5.9,0.0,0,0.0,6.7,3.1,3,4,0,154.0,True,9,9.0,885377,6.7,7.0,Art. 97,Cross-Border Dispute,36087.77,Review charges -> Evaluate evidence -> Determine verdict,518894.64,0.94,0.63
FLC-2023-0033,Region A,2015,Civil,Win,True,2919223.2,2.9,7.5,5.2,9.6,4.7,7.5,5.8,2.9,4,1.0,9.6,3.6,6,1,3,58.3,False,0,5.9,571451,7.3,7.8,Art. 45 Civil Code,Breach of Contract,22214.81,Check jurisdiction -> Assess contract clauses -> Compute liability,1699913.47,0.58,0.91
FLC-2024-0034,Region D,2022,International Treaty,Loss,True,493783.75,0.0,9.4,6.0,6.0,3.3,6.8,7.8,0.0,1,0.0,6.5,7.1,2,1,3,106.6,True,5,8.8,852587,5.9,9.3,Art. 97,Cross-Border Dispute,283713.0,Assess plaintiff claims -> Review evidence -> Determine outcome,493783.75,1.0,0.54
FLC-2025-0035,Region D,2021,Criminal,Settlement,False,88259.69,6.0,9.9,9.2,9.3,5.9,7.3,6.3,6.0,2,3.5,7.5,6.0,9,4,2,179.7,False,7,5.5,35911,9.9,8.0,Art. 12 Penal Code,Fraud,48903.3,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,42807.03,0.49,0.65
FLC-2023-0036,Region C,2017,Civil,Settlement,True,81367.71,5.2,7.5,7.1,9.5,8.7,6.1,6.3,5.2,1,4.8,6.8,0.3,4,4,4,93.7,False,8,7.2,139155,6.1,9.9,Art. 45 Civil Code,Breach of Contract,88767.81,Check applicable law -> Compute damages -> Advise resolution,33356.43,0.41,0.92
FLC-2024-0037,Region A,2015,Administrative,Settlement,True,705585.02,4.6,6.9,7.6,8.7,7.9,6.4,6.1,4.6,2,3.8,7.1,1.3,2,4,2,168.1,False,4,9.1,189456,6.4,7.8,Art. 5 Admin Law,Regulatory Violation,216085.41,Check jurisdiction -> Assess contract clauses -> Compute liability,398300.46,0.56,0.83
FLC-2025-0038,Region B,2015,Commercial,Loss,True,1238183.12,3.5,6.5,6.9,7.6,3.3,5.0,8.7,3.5,2,4.5,5.5,7.7,5,2,2,84.0,True,0,8.6,229071,7.8,7.4,Art. 25 CISG,Cross-Border Dispute,210852.79,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,925244.41,0.75,0.73
FLC-2023-0039,Region B,2018,Administrative,Settlement,True,1220010.55,2.6,5.0,9.2,9.2,9.7,4.9,8.1,2.6,1,2.8,5.5,0.8,1,0,0,146.9,False,7,7.2,276494,5.4,5.4,Art. 5 Admin Law,Regulatory Violation,158144.76,Check applicable law -> Compute damages -> Advise resolution,792191.63,0.65,0.82
FLC-2024-0040,Region E,2019,Criminal,Settlement,True,1185556.35,4.5,8.2,9.2,6.2,6.4,5.3,9.9,4.5,4,4.3,8.3,0.4,7,0,1,122.2,True,9,6.6,693558,8.5,6.5,Art. 12 Penal Code,Fraud,20381.51,Check applicable law -> Compute damages -> Advise resolution,877967.96,0.74,0.82
FLC-2025-0041,Region B,2024,International Treaty,Loss,True,1601015.15,1.1,7.9,8.3,6.8,6.9,6.9,9.4,1.1,2,0.9,6.7,7.2,7,0,3,162.3,True,8,8.7,639112,9.4,8.1,Art. 97,Cross-Border Dispute,191823.41,Check jurisdiction -> Assess contract clauses -> Compute liability,1434580.79,0.9,0.67
FLC-2023-0042,Region D,2023,Administrative,Loss,False,480356.58,7.3,8.6,7.1,7.1,8.2,5.4,5.6,7.3,1,8.2,6.5,2.3,9,0,4,197.8,True,8,5.5,123744,8.4,6.1,Art. 5 Admin Law,Regulatory Violation,35498.55,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,195288.02,0.41,0.55
FLC-2024-0043,Region C,2018,Administrative,Settlement,True,307786.44,6.5,4.4,7.0,9.2,4.6,9.0,5.6,6.5,2,4.5,5.9,2.2,1,1,2,168.7,False,4,5.3,466966,6.1,7.6,Art. 5 Admin Law,Regulatory Violation,87836.21,Check applicable law -> Compute damages -> Advise resolution,179571.13,0.58,0.72
FLC-2025-0044,Region B,2017,Administrative,Loss,False,831882.34,2.8,5.3,6.1,7.7,7.2,7.5,5.5,2.8,0,2.4,7.0,2.7,9,2,0,173.4,False,9,9.0,914447,9.7,8.7,Art. 5 Admin Law,Regulatory Violation,62793.9,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,453695.5,0.55,0.61
FLC-2023-0045,Region A,2019,Civil,Loss,True,441082.58,6.0,9.9,5.3,9.4,6.6,9.4,7.9,6.0,1,4.2,7.7,8.6,1,2,3,173.1,True,8,6.7,708116,8.5,8.4,Art. 45 Civil Code,Breach of Contract,123967.29,Assess plaintiff claims -> Review evidence -> Determine outcome,177949.58,0.4,0.81
FLC-2024-0046,Region E,2018,Administrative,Settlement,True,1762350.51,3.5,7.3,8.8,6.3,4.4,4.5,6.6,3.5,0,4.0,8.2,2.6,8,4,2,43.1,True,2,8.8,30257,7.2,9.2,Art. 5 Admin Law,Regulatory Violation,297428.71,Check jurisdiction -> Assess contract clauses -> Compute liability,1171735.73,0.66,0.78
FLC-2025-0047,Region A,2018,Criminal,Settlement,True,195450.87,4.0,4.4,6.5,8.5,3.5,7.5,6.7,4.0,1,3.8,5.4,8.5,4,2,2,127.0,True,6,5.3,962568,6.6,7.4,Art. 12 Penal Code,Fraud,144942.03,Review charges -> Evaluate evidence -> Determine verdict,133191.56,0.68,0.76
FLC-2023-0048,Region E,2018,Civil,Loss,True,919995.09,3.5,9.0,8.9,6.2,3.9,9.2,9.8,3.5,3,1.6,8.7,9.1,5,2,3,91.6,True,8,7.2,793058,7.0,9.5,Art. 45 Civil Code,Breach of Contract,198048.52,Review charges -> Evaluate evidence -> Determine verdict,559363.36,0.61,0.73
FLC-2024-0049,Region E,2022,Civil,Win,False,370370.7,8.8,5.0,6.0,5.5,4.1,6.7,7.7,8.8,2,6.8,9.0,2.9,8,3,1,131.0,False,8,5.0,785838,5.6,8.4,Art. 45 Civil Code,Breach of Contract,63303.28,Review charges -> Evaluate evidence -> Determine verdict,47745.53,0.13,0.63
FLC-2025-0050,Region B,2015,Commercial,Loss,True,113746.64,3.3,4.1,5.4,7.0,6.4,7.6,6.5,3.3,4,1.1,8.8,9.5,9,2,2,38.9,False,0,5.5,446485,5.7,7.5,Art. 25 CISG,Cross-Border Dispute,139362.7,Assess plaintiff claims -> Review evidence -> Determine outcome,76027.14,0.67,0.63
FLC-2023-0051,Region C,2016,Criminal,Settlement,False,778170.6,3.3,7.2,9.4,5.4,8.8,6.1,6.6,3.3,1,2.6,8.4,8.0,2,1,3,38.8,True,2,9.5,216048,9.7,5.3,Art. 12 Penal Code,Fraud,3825.95,Check applicable law -> Compute damages -> Advise resolution,506075.34,0.65,0.69
FLC-2024-0052,Region E,2021,Administrative,Loss,True,2708702.03,4.3,8.0,7.8,8.0,8.5,6.9,5.2,4.3,3,2.9,8.7,0.8,6,3,3,48.7,True,2,6.1,152094,7.4,8.7,Art. 5 Admin Law,Regulatory Violation,169266.42,Check jurisdiction -> Assess contract clauses -> Compute liability,1722172.63,0.64,0.84
FLC-2025-0053,Region A,2024,Commercial,Settlement,True,1314556.6,3.7,6.4,6.1,7.1,4.4,9.0,5.9,3.7,4,1.0,8.6,7.4,4,4,3,152.4,True,3,7.5,377369,9.3,7.9,Art. 25 CISG,Cross-Border Dispute,132693.37,Assess plaintiff claims -> Review evidence -> Determine outcome,895731.44,0.68,0.8
FLC-2023-0054,Region E,2017,Commercial,Settlement,True,2383135.68,3.4,5.7,6.8,6.9,6.3,9.0,6.2,3.4,1,2.6,8.6,9.1,7,1,3,87.1,False,1,5.9,589612,5.3,7.2,Art. 25 CISG,Cross-Border Dispute,210424.42,Check applicable law -> Compute damages -> Advise resolution,1558836.63,0.65,0.81
FLC-2024-0055,Region C,2021,International Treaty,Loss,True,1070525.21,2.7,5.0,7.0,9.8,4.8,7.9,6.6,2.7,3,4.0,5.7,9.7,3,1,4,80.7,True,8,7.2,770299,7.9,9.7,Art. 97,Cross-Border Dispute,434079.69,Review charges -> Evaluate evidence -> Determine verdict,942068.62,0.88,0.52
FLC-2025-0056,Region A,2022,Criminal,Loss,False,210655.69,4.7,8.8,7.9,9.3,4.4,4.7,6.3,4.7,1,4.3,5.6,2.3,1,2,4,188.1,True,4,5.5,851610,5.2,5.7,Art. 12 Penal Code,Fraud,53134.62,Check jurisdiction -> Assess contract clauses -> Compute liability,77844.54,0.37,0.74
FLC-2023-0057,Region B,2020,Commercial,Loss,True,51334.63,3.1,4.8,5.1,6.5,7.9,5.2,8.4,3.1,1,0.0,5.9,7.3,6,4,1,139.1,False,6,9.7,613297,5.1,6.2,Art. 25 CISG,Cross-Border Dispute,210557.69,Assess plaintiff claims -> Review evidence -> Determine outcome,40638.18,0.79,0.73
FLC-2024-0058,Region A,2019,Administrative,Loss,False,531666.2,7.1,7.5,6.7,5.8,7.2,5.9,9.3,7.1,0,6.3,9.4,7.8,9,2,3,137.1,False,5,6.6,485965,7.2,9.5,Art. 5 Admin Law,Regulatory Violation,138013.2,Check jurisdiction -> Assess contract clauses -> Compute liability,168366.44,0.32,0.56
FLC-2025-0059,Region C,2021,Commercial,Settlement,True,509424.36,3.0,4.0,6.6,6.8,5.8,8.2,6.9,3.0,0,3.4,8.0,5.5,3,3,1,125.7,True,7,8.3,454449,8.8,7.5,Art. 25 CISG,Cross-Border Dispute,222319.12,Check jurisdiction -> Assess contract clauses -> Compute liability,338043.69,0.66,0.78
FLC-2023-0060,Region E,2021,Commercial,Loss,True,824388.25,1.8,8.9,8.6,9.8,3.1,5.2,5.0,1.8,4,1.3,9.5,2.4,3,3,4,106.3,False,2,5.5,138084,8.1,7.6,Art. 25 CISG,Cross-Border Dispute,208276.49,Check applicable law -> Compute damages -> Advise resolution,581886.32,0.71,0.71
FLC-2024-0061,Region B,2016,Civil,Settlement,True,86310.34,6.9,6.4,9.9,9.1,6.7,4.7,9.3,6.9,4,6.5,5.9,3.0,1,1,4,66.2,True,3,7.1,537437,9.0,7.8,Art. 45 Civil Code,Breach of Contract,242195.61,Check jurisdiction -> Assess contract clauses -> Compute liability,47664.18,0.55,0.92
FLC-2025-0062,Region B,2023,Commercial,Settlement,True,501432.61,4.0,7.9,5.9,6.8,9.3,8.6,7.8,4.0,2,3.2,8.9,2.7,3,3,3,140.9,True,8,5.5,344715,5.7,7.1,Art. 25 CISG,Cross-Border Dispute,106848.38,Check applicable law -> Compute damages -> Advise resolution,329471.03,0.66,0.71
FLC-2023-0063,Region B,2020,Commercial,Win,True,460741.16,3.4,4.1,8.2,8.0,6.8,5.4,7.0,3.4,4,3.8,5.3,1.4,3,4,1,92.8,True,5,7.2,652176,8.5,10.0,Art. 25 CISG,Cross-Border Dispute,229785.64,Assess plaintiff claims -> Review evidence -> Determine outcome,301916.93,0.66,0.64
FLC-2024-0064,Region D,2023,Civil,Settlement,False,781509.89,6.2,7.7,7.2,9.2,7.7,4.4,8.2,6.2,1,4.4,8.4,2.3,3,1,3,139.1,True,0,10.0,272830,7.3,5.3,Art. 45 Civil Code,Breach of Contract,176472.88,Review charges -> Evaluate evidence -> Determine verdict,283562.78,0.36,0.66
FLC-2025-0065,Region D,2024,Criminal,Loss,True,160370.7,2.0,4.6,7.3,8.8,5.4,8.0,9.0,2.0,4,0.7,5.6,9.7,6,4,3,186.9,True,0,9.2,885884,5.5,6.3,Art. 12 Penal Code,Fraud,81334.92,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,137250.49,0.86,0.81
FLC-2023-0066,Region C,2023,Commercial,Settlement,False,676832.32,8.1,4.5,9.7,7.8,5.1,6.4,7.2,8.1,3,6.2,9.4,1.6,6,2,3,173.3,True,9,7.5,886296,5.6,9.1,Art. 25 CISG,Cross-Border Dispute,179414.3,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,293451.35,0.43,0.52
FLC-2024-0067,Region D,2018,Civil,Dismissed,False,294247.61,7.3,8.9,6.6,5.1,4.1,5.3,9.8,7.3,1,6.2,8.2,8.2,9,4,0,186.1,True,0,8.0,694045,9.1,6.6,Art. 45 Civil Code,Breach of Contract,30835.08,Check jurisdiction -> Assess contract clauses -> Compute liability,85893.13,0.29,0.67
FLC-2025-0068,Region B,2018,Administrative,Loss,False,198880.83,3.3,6.6,5.5,8.2,4.5,7.7,8.3,3.3,2,2.5,6.9,5.6,2,1,0,30.5,True,1,5.3,907295,6.5,7.2,Art. 5 Admin Law,Regulatory Violation,4493.09,Assess plaintiff claims -> Review evidence -> Determine outcome,66655.86,0.34,0.7
FLC-2023-0069,Region C,2018,Criminal,Win,False,413002.59,6.3,10.0,9.1,8.1,5.1,7.7,7.6,6.3,1,4.1,5.7,8.9,3,2,3,106.7,True,6,8.7,77373,9.8,6.2,Art. 12 Penal Code,Fraud,174400.41,Assess plaintiff claims -> Review evidence -> Determine outcome,177214.19,0.43,0.69
FLC-2024-0070,Region D,2019,Commercial,Win,False,350574.35,8.4,9.0,8.1,6.0,3.5,4.3,6.9,8.4,0,5.7,7.7,4.5,4,4,1,42.9,False,1,6.6,226019,8.3,9.1,Art. 25 CISG,Cross-Border Dispute,145735.64,Review charges -> Evaluate evidence -> Determine verdict,103542.91,0.3,0.54
FLC-2025-0071,Region B,2015,Civil,Settlement,True,789692.76,4.5,8.0,9.7,9.0,3.5,5.7,9.7,4.5,3,3.5,8.9,8.3,7,1,2,101.0,False,0,8.1,8099,7.3,9.4,Art. 45 Civil Code,Breach of Contract,12659.26,Assess plaintiff claims -> Review evidence -> Determine outcome,474755.65,0.6,0.93
FLC-2023-0072,Region C,2018,Civil,Win,False,241750.37,8.7,6.1,8.9,8.3,4.3,5.0,5.5,8.7,1,4.5,5.1,0.8,1,0,0,88.7,False,1,5.1,183051,8.1,8.9,Art. 45 Civil Code,Breach of Contract,61348.33,Assess plaintiff claims -> Review evidence -> Determine outcome,46517.19,0.19,0.81
FLC-2024-0073,Region E,2020,International Treaty,Settlement,True,532728.66,0.0,6.9,9.6,7.6,7.3,4.9,5.2,0.0,0,0.9,9.6,2.2,9,2,3,90.0,True,1,9.7,920965,9.6,8.4,Art. 97,Cross-Border Dispute,127226.13,Check applicable law -> Compute damages -> Advise resolution,503742.24,0.95,0.82
FLC-2025-0074,Region E,2019,Civil,Win,False,321009.23,7.6,9.9,8.7,7.8,4.3,4.3,6.6,7.6,2,6.4,6.3,5.4,2,1,4,143.4,True,3,9.1,569926,7.4,5.8,Art. 45 Civil Code,Breach of Contract,38341.26,Check jurisdiction -> Assess contract clauses -> Compute liability,64118.33,0.2,0.77
FLC-2023-0075,Region E,2020,Administrative,Win,True,84183.6,5.8,7.4,8.4,9.4,7.5,8.6,5.8,5.8,1,5.5,7.8,8.1,5,2,0,70.0,False,2,7.0,96081,8.3,6.6,Art. 5 Admin Law,Regulatory Violation,175318.63,Assess plaintiff claims -> Review evidence -> Determine outcome,42312.78,0.5,0.62
FLC-2024-0076,Region C,2024,Civil,Win,False,945255.93,8.4,8.6,5.2,8.7,4.4,9.7,6.8,8.4,2,7.4,8.8,8.4,6,2,4,42.4,False,3,8.6,900607,6.1,5.7,Art. 45 Civil Code,Breach of Contract,44446.2,Review charges -> Evaluate evidence -> Determine verdict,244243.38,0.26,0.85
